Produit, Quantite ou portion
Tagliatelle tradition terrasuisse, 3 
Pomme de terre (Portions), 4
Carotte (Portions), 4
Oeufs eleves en plein air, 10
Cookies M budget, 6
Morceau de parmesan, 1
Lardons (Terrasuisse ou eq. boite double), 2
Pate brisée (Pour quiche, M classic ou eq), 1
Pate a pizza (Anna's best pate a pizza ou eq), 2
Jambon blanc (pour 2 pizzas), 1
Mozarella (Prends pas un truc trop pourri j ai encore le gout et l odorat), 2
Riz basmati (M-Classic ou autre), 1
Lait (Bouteilles, quantite minimum), 4
Pain à cuire au four (M-classic ou eq, paquet double), 2  
Recharge savon (M classic ou autre), 1
